ID	label	region	name	name_full	hemi	color	key_L1	name_L1	key_L2	name_L2	key_L3	name_L3
199	cortex_rh_STGc	cortex	STGc	caudal_superior_temporal_gyrus (STGc)	rh	#FFFC3B	138	Temporal_Lobe (Temporal)	193	superior_temporal_region (STG/STSd)	199	caudal_superior_temporal_gyrus (STGc)
206	cortex_rh_lat_belt	cortex	lat_belt	lateral_belt_areas (lat_belt)	rh	#D9B100	138	Temporal_Lobe (Temporal)	204	core_and_belt_areas_of_auditory_cortex (core/belt)	205	belt_areas_of_auditory_cortex (belt)
213	cortex_rh_med_belt	cortex	med_belt	medial_belt_areas (med_belt)	rh	#805B39	138	Temporal_Lobe (Temporal)	204	core_and_belt_areas_of_auditory_cortex (core/belt)	205	belt_areas_of_auditory_cortex (belt)
218	cortex_rh_RTp	cortex	RTp	polar_rostrotemporal_cortex (RTp)	rh	#D48A00	138	Temporal_Lobe (Temporal)	204	core_and_belt_areas_of_auditory_cortex (core/belt)	218	polar_rostrotemporal_cortex (RTp)
219	cortex_rh_core	cortex	core	core_areas_of_auditory_cortex (core)	rh	#FFC800	138	Temporal_Lobe (Temporal)	204	core_and_belt_areas_of_auditory_cortex (core/belt)	219	core_areas_of_auditory_cortex (core)
225	cortex_rh_Ins/Pi	cortex	Ins/Pi	insula_and_parainsula (Ins/Pi)	rh	#FF9F73	138	Temporal_Lobe (Temporal)	224	floor_of_the_lateral_sulcus (floor_of_ls)	224	floor_of_the_lateral_sulcus (floor_of_ls)
230	cortex_rh_Ri	cortex	Ri	retroinsula (Ri)	rh	#FFB18C	138	Temporal_Lobe (Temporal)	224	floor_of_the_lateral_sulcus (floor_of_ls)	224	floor_of_the_lateral_sulcus (floor_of_ls)
232	cortex_rh_MT	cortex	MT	middle_temporal_area (MT)	rh	#FF583B	231	Occipital_Lobe (Occipital)	232	middle_temporal_area (MT)	232	middle_temporal_area (MT)
234	cortex_rh_V4	cortex	V4	visual_area_4 (V4)	rh	#BF4900	231	Occipital_Lobe (Occipital)	233	extrastriate_visual_areas_2-4 (V2-V4)	234	visual_area_4 (V4)
238	cortex_rh_V3	cortex	V3	visual_area_3 (V3)	rh	#9E0300	231	Occipital_Lobe (Occipital)	233	extrastriate_visual_areas_2-4 (V2-V4)	237	preoccipital_visual_areas_2-3 (V2-V3)
243	cortex_rh_V2	cortex	V2	visual_area_2 (V2)	rh	#FFC273	231	Occipital_Lobe (Occipital)	233	extrastriate_visual_areas_2-4 (V2-V4)	237	preoccipital_visual_areas_2-3 (V2-V3)
246	cortex_rh_V1	cortex	V1	primary_visual_cortex (V1)	rh	#FFFFBF	231	Occipital_Lobe (Occipital)	246	primary_visual_cortex (V1)	246	primary_visual_cortex (V1)
1004	cortex_lh_area_32	cortex	area_32	area_32 (area_32)	lh	#803951	1001	Frontal_Lobe (Frontal)	1002	anterior_cingulate_gyrus (ACgG)	1003	anterior_cingulate_cortex (ACC)
1005	cortex_lh_area_25	cortex	area_25	subgenual_cortex (area_25)	lh	#801D46	1001	Frontal_Lobe (Frontal)	1002	anterior_cingulate_gyrus (ACgG)	1003	anterior_cingulate_cortex (ACC)
1006	cortex_lh_area_24	cortex	area_24	area_24 (area_24)	lh	#BF0026	1001	Frontal_Lobe (Frontal)	1002	anterior_cingulate_gyrus (ACgG)	1003	anterior_cingulate_cortex (ACC)
1011	cortex_lh_MCC	cortex	MCC	midcingulate_cortex (MCC)	lh	#801D4E	1001	Frontal_Lobe (Frontal)	1002	anterior_cingulate_gyrus (ACgG)	1011	midcingulate_cortex (MCC)
1018	cortex_lh_area_10	cortex	area_10	frontal_pole (area_10)	lh	#D4007B	1001	Frontal_Lobe (Frontal)	1016	orbital_frontal_cortex (OFC)	1017	medial_orbital_frontal_cortex (med_OFC)
1022	cortex_lh_area_14	cortex	area_14	gyrus_rectus (area_14)	lh	#803973	1001	Frontal_Lobe (Frontal)	1016	orbital_frontal_cortex (OFC)	1017	medial_orbital_frontal_cortex (med_OFC)
1026	cortex_lh_areas_11/13	cortex	areas_11/13	areas_11_and_13 (areas_11/13)	lh	#BF008F	1001	Frontal_Lobe (Frontal)	1016	orbital_frontal_cortex (OFC)	1025	lateral_orbital_frontal_cortex (lat_OFC)
1034	cortex_lh_area_12m/o	cortex	area_12m/o	medial_and_orbital_area_12 (area_12m/o)	lh	#D573FF	1001	Frontal_Lobe (Frontal)	1016	orbital_frontal_cortex (OFC)	1025	lateral_orbital_frontal_cortex (lat_OFC)
1038	cortex_lh_OFa-p	cortex	OFa-p	agranular_orbitofrontal_cortex (OFa-p)	lh	#7B00A8	1001	Frontal_Lobe (Frontal)	1016	orbital_frontal_cortex (OFC)	1037	caudal_orbital_frontal_cortex (caudal_OFC)
1044	cortex_lh_OLF	cortex	OLF	primary_olfactory_cortex (OLF)	lh	#FF00E6	1001	Frontal_Lobe (Frontal)	1016	orbital_frontal_cortex (OFC)	1037	caudal_orbital_frontal_cortex (caudal_OFC)
1047	cortex_lh_cl_OFC	cortex	cl_OFC	caudolateral_orbitofrontal_cortex (cl_OFC)	lh	#A33BFF	1001	Frontal_Lobe (Frontal)	1016	orbital_frontal_cortex (OFC)	1037	caudal_orbital_frontal_cortex (caudal_OFC)
1051	cortex_lh_area_8A	cortex	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields) (area_8A)	lh	#F23BFF	1001	Frontal_Lobe (Frontal)	1050	lateral_prefrontal_cortex (lat_PFC)	1051	periarcuate_area_8A_(Frontal_Eye_Fields) (area_8A)
1055	cortex_lh_area_8B	cortex	area_8B	area_8B (area_8B)	lh	#623BFF	1001	Frontal_Lobe (Frontal)	1050	lateral_prefrontal_cortex (lat_PFC)	1054	dorsolateral_prefrontal_cortex (dlPFC)
1059	cortex_lh_rostral_dlPFC	cortex	rostral_dlPFC	rostral_dorsolateral_prefrontal_cortex (rostral_dlPFC)	lh	#9A8CFF	1001	Frontal_Lobe (Frontal)	1050	lateral_prefrontal_cortex (lat_PFC)	1054	dorsolateral_prefrontal_cortex (dlPFC)
1065	cortex_lh_rostral_vlPFC	cortex	rostral_vlPFC	rostral_ventrolateral_prefrontal_cortex (rostral_vlPFC)	lh	#1D2180	1001	Frontal_Lobe (Frontal)	1050	lateral_prefrontal_cortex (lat_PFC)	1064	ventrolateral_prefrontal_cortex (vlPFC)
